Model,Price,Age_08_04,Mfg_Month,Mfg_Year,KM,HP,Met_Color,Automatic,cc,Doors,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Tow_Bar,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol,Color_Beige,Color_Black,Color_Blue,Color_Green,Color_Grey,Color_Red,Color_Silver,Color_Violet,Color_White,Color_Yellow
TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,0.644760213,0.392405063,0,0.666666667,0.140453253,1,1,0,0.034013605,0.333333333,1,0.306818182,0.300813008,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,0.626998224,0.341772152,0.363636364,0.666666667,0.077111428,1,0,0,0.034013605,0.333333333,1,0.306818182,0.300813008,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,0.653641208,0.367088608,0.181818182,0.666666667,0.139914156,1,1,0,0.034013605,0.333333333,0.666666667,0.306818182,0.300813008,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,0.48312611,0.291139241,0.727272727,0.666666667,0.089362508,0.333333333,1,0,0.020408163,0.333333333,0.666666667,0.25,0.170731707,0,0,0.454545455,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,0.440497336,0.291139241,0.727272727,0.666666667,0.105193849,0.333333333,0,0,0.020408163,0.333333333,0.666666667,0,0.105691057,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,0.447602131,0.367088608,0.181818182,0.666666667,0.264848827,0.333333333,1,0,0.020408163,0.333333333,0.666666667,0.25,0.170731707,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,0.412078153,0.367088608,0.181818182,0.666666667,0.278433245,0.333333333,1,0,0.020408163,0.333333333,0.666666667,0.25,0.170731707,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,0.447602131,0.35443038,0.272727273,0.666666667,0.180675641,0.333333333,0,1,0.020408163,0.333333333,0.666666667,0.306818182,0.276422764,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,0.412078153,0.341772152,0.363636364,0.666666667,0.231885728,0.333333333,1,0,0.020408163,0.333333333,0.666666667,0.25,0.195121951,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
 TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,0.447602131,0.341772152,0.363636364,0.666666667,0.132589023,0.333333333,1,0,0.020408163,0.333333333,0.666666667,0.25,0.195121951,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,0.422735346,0.35443038,0.272727273,0.666666667,0.106222659,0.333333333,1,0,0.020408163,0.333333333,0.666666667,0.25,0.195121951,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,0.412078153,0.303797468,0.636363636,0.666666667,0.117074556,0.333333333,1,0,0.020408163,0.333333333,0.666666667,0.25,0.195121951,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
 TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,0.4669627,0.329113924,0.454545455,0.666666667,0.142156964,0.333333333,1,0,0.020408163,0.333333333,0.666666667,0.25,0.195121951,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,0.404973357,0.35443038,0.272727273,0.666666667,0.170428685,0.333333333,1,0,0.020408163,0.333333333,0.666666667,0.25,0.195121951,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,0.447602131,0.341772152,0.363636364,0.666666667,0.181650953,0.333333333,0,0,0.020408163,0.333333333,0.666666667,0.25,0.195121951,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,0.48312611,0.367088608,0.181818182,0.666666667,0.045633933,0.333333333,1,0,0.020408163,0.333333333,0.666666667,0.25,0.195121951,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
 TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,0.305506217,0.35443038,0.272727273,0.666666667,0.040119507,0.227642276,1,0,0.006802721,0.333333333,0.666666667,0,0.162601626,1,1,0.272727273,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,0.404973357,0.265822785,0.909090909,0.666666667,0.144848333,0.227642276,1,0,0.006802721,0.333333333,0.666666667,0.25,0.162601626,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,0.412078153,0.329113924,0.454545455,0.666666667,0.121436714,0.227642276,1,0,0.006802721,0.333333333,0.666666667,0.25,0.162601626,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
 TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,0.376554174,0.316455696,0.545454545,0.666666667,0.134531418,0.227642276,1,0,0.006802721,0.333333333,0.666666667,0.25,0.162601626,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,0.396092362,0.265822785,0.909090909,0.666666667,0.168720859,0.227642276,1,0,0.006802721,0.333333333,0.666666667,0.25,0.162601626,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,0.404973357,0.316455696,0.545454545,0.666666667,0.176951345,0.227642276,0,0,0.006802721,0.333333333,0.666666667,0.25,0.162601626,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,0.412078153,0.303797468,0.636363636,0.666666667,0.102876967,0.227642276,0,0,0.006802721,0.333333333,0.666666667,0.25,0.162601626,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,0.376554174,0.278481013,0.818181818,0.666666667,0.041148317,0.227642276,1,0,0.006802721,0.333333333,0.666666667,0.25,0.162601626,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,0.404973357,0.392405063,0,0.666666667,0.104230882,0.227642276,1,0,0.006802721,0.333333333,0.666666667,0.25,0.162601626,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
 TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,0.369449378,0.329113924,0.454545455,0.666666667,0.113165075,0.227642276,0,0,0.006802721,0.333333333,0.666666667,0.25,0.162601626,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
 TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,0.341030195,0.265822785,0.909090909,0.666666667,0.201885604,0.227642276,0,0,0.006802721,0.333333333,0.666666667,0.25,0.162601626,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,0.440497336,0.329113924,0.454545455,0.666666667,0.181346425,0.227642276,1,0,0.006802721,0.333333333,0.666666667,0.25,0.162601626,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,0.341030195,0.265822785,0.909090909,0.666666667,0.193251824,0.227642276,0,0,0.006802721,0.333333333,0.666666667,0.25,0.162601626,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,0.447602131,0.329113924,0.454545455,0.666666667,0.454335203,0.170731707,0,0,0.047619048,1,0.666666667,0.814393939,0.414634146,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,0.447602131,0.265822785,0.909090909,0.666666667,0.412549023,0.170731707,0,0,0.047619048,1,0.666666667,0.814393939,0.414634146,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
 TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,0.520426288,0.278481013,0.818181818,0.666666667,0.34567632,0.170731707,0,0,0.047619048,1,0.666666667,0.814393939,0.43902439,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,0.48312611,0.329113924,0.454545455,0.666666667,0.32664332,0.170731707,1,0,0.047619048,1,0.666666667,0.814393939,0.414634146,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,0.406749556,0.265822785,0.909090909,0.666666667,0.308836662,0.227642276,1,0,0.006802721,1,0.666666667,0.25,0.178861789,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
 TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,0.48312611,0.265822785,0.909090909,0.666666667,0.297178178,0.170731707,1,0,0.047619048,1,0.666666667,0.814393939,0.414634146,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,0.625222025,0.379746835,0.090909091,0.666666667,0.267412623,1,1,0,0.034013605,1,1,0.306818182,0.317073171,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,0.48312611,0.265822785,0.909090909,0.666666667,0.257758262,0.170731707,1,0,0.047619048,1,0.666666667,0.814393939,0.414634146,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,0.404973357,0.367088608,0.181818182,0.666666667,0.234918662,0.227642276,1,0,0.006802721,1,0.666666667,0.25,0.178861789,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,0.573712256,0.316455696,0.545454545,0.666666667,0.230449508,0.333333333,1,1,0.020408163,1,0.666666667,0.306818182,0.292682927,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,0.625222025,0.329113924,0.454545455,0.666666667,0.205206606,1,1,0,0.034013605,1,0.666666667,0.306818182,0.317073171,0,1,0.303030303,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
 TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,0.396092362,0.303797468,0.636363636,0.666666667,0.20231359,0.333333333,0,1,0.020408163,1,0.666666667,0.306818182,0.268292683,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
 TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,0.31616341,0.392405063,0,0.666666667,0.188165383,0.333333333,1,0,0.020408163,1,0.666666667,0.25,0.12195122,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,0.387211368,0.341772152,0.363636364,0.666666667,0.177815547,0.227642276,0,0,0.006802721,1,0.666666667,0.25,0.178861789,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,0.387211368,0.316455696,0.545454545,0.666666667,0.176951345,0.227642276,0,0,0.006802721,1,0.666666667,0.25,0.178861789,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,0.518650089,0.278481013,0.818181818,0.666666667,0.163387504,0.333333333,1,1,0.020408163,1,0.666666667,0.306818182,0.292682927,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
 TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,0.413818828,0.367088608,0.181818182,0.666666667,0.16028461,0.333333333,1,0,0.020408163,1,0.666666667,0.25,0.211382114,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,0.376554174,0.265822785,0.909090909,0.666666667,0.153905983,0.227642276,1,0,0.006802721,1,0.666666667,0.25,0.178861789,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
 TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,0.431616341,0.329113924,0.454545455,0.666666667,0.152988284,0.333333333,0,0,0.020408163,1,0.666666667,0.25,0.211382114,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,0.511545293,0.379746835,0.090909091,0.666666667,0.150383335,0.333333333,1,0,0.020408163,1,0.666666667,0.25,0.211382114,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,0.48312611,0.367088608,0.181818182,0.666666667,0.137901802,0.333333333,1,0,0.020408163,1,0.666666667,0.25,0.211382114,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,0.48312611,0.329113924,0.454545455,0.666666667,0.135012901,0.227642276,1,0,0.006802721,1,0.666666667,0.25,0.178861789,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,0.447602131,0.316455696,0.545454545,0.666666667,0.132428529,0.333333333,1,0,0.020408163,1,0.666666667,0,0.12195122,0,1,0.272727273,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,0.518650089,0.341772152,0.363636364,0.666666667,0.12753962,0.333333333,1,0,0.020408163,1,0.666666667,0.25,0.211382114,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,0.376554174,0.265822785,0.909090909,0.666666667,0.12509928,0.227642276,1,0,0.006802721,1,0.666666667,0.25,0.178861789,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,0.635879218,0.265822785,0.909090909,0.666666667,0.123453183,0.333333333,1,0,0.047619048,1,0.666666667,0.814393939,0.447154472,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,0.412078153,0.303797468,0.636363636,0.666666667,0.1222968,0.227642276,1,0,0.006802721,1,0.666666667,0.25,0.178861789,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
 TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,0.412078153,0.341772152,0.363636364,0.666666667,0.12018568,0.227642276,1,0,0.006802721,1,0.666666667,0.25,0.178861789,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,0.307104796,0.392405063,0,0.666666667,0.120152758,0.227642276,1,0,0.006802721,1,0.666666667,0.25,0.097560976,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,0.518650089,0.341772152,0.363636364,0.666666667,0.11858485,0.333333333,1,0,0.020272109,1,0.666666667,0.25,0.211382114,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,0.404973357,0.278481013,0.818181818,0.666666667,0.116156857,0.227642276,1,0,0.006802721,1,0.666666667,0.25,0.178861789,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,0.554174067,0.341772152,0.363636364,0.666666667,0.115222696,0.333333333,0,0,0.020408163,1,0.666666667,0.25,0.211382114,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,0.447602131,0.278481013,0.818181818,0.666666667,0.115222696,0.333333333,1,0,0.020408163,1,0.666666667,0.25,0.18699187,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,0.511545293,0.379746835,0.090909091,0.666666667,0.103971621,0.333333333,1,0,0.020408163,1,0.666666667,0.25,0.211382114,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,0.500888099,0.329113924,0.454545455,0.666666667,0.096658834,0.333333333,0,0,0.020408163,1,0.666666667,0.25,0.18699187,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
